health_impact_indicator,location,geography_type,unit,record_count,avg_health_impact_value,health_impact_rank
"Deaths due to PM2.5","Kingsbridge - Riverdale",UHF42,"per 100,000 adults",5,75.5327,1
"Deaths due to PM2.5","East Harlem",UHF42,"per 100,000 adults",5,65.4901,2
"Deaths due to PM2.5",Rockaways,UHF42,"per 100,000 adults",5,62.9186,3
"Deaths due to PM2.5","Central Harlem - Morningside Heights",UHF42,"per 100,000 adults",5,61.0589,4
"Deaths due to PM2.5","Coney Island - Sheepshead Bay",UHF42,"per 100,000 adults",5,59.2855,5
"Deaths due to PM2.5","Stapleton - St. George",UHF42,"per 100,000 adults",5,56.2313,6
"Deaths due to PM2.5",Willowbrook,UHF42,"per 100,000 adults",5,55.9310,7
"Deaths due to PM2.5","Northeast Bronx",UHF42,"per 100,000 adults",5,53.6947,8
"Deaths due to PM2.5","High Bridge - Morrisania",UHF42,"per 100,000 adults",5,53.6490,9
"Deaths due to PM2.5","Hunts Point - Mott Haven",UHF42,"per 100,000 adults",5,52.1417,10
"Respiratory hospitalizations due to PM2.5 (age 20+)","Hunts Point - Mott Haven",UHF42,"per 100,000 adults",5,27.6415,1
"Respiratory hospitalizations due to PM2.5 (age 20+)","High Bridge - Morrisania",UHF42,"per 100,000 adults",5,26.8127,2
"Respiratory hospitalizations due to PM2.5 (age 20+)","East Harlem",UHF42,"per 100,000 adults",5,25.2956,3
"Respiratory hospitalizations due to PM2.5 (age 20+)","Crotona -Tremont",UHF42,"per 100,000 adults",5,22.7903,4
"Respiratory hospitalizations due to PM2.5 (age 20+)",Bronx,Borough,"per 100,000 adults",5,20.1956,5
"Respiratory hospitalizations due to PM2.5 (age 20+)","Fordham - Bronx Pk",UHF42,"per 100,000 adults",5,19.2168,6
"Respiratory hospitalizations due to PM2.5 (age 20+)","Central Harlem - Morningside Heights",UHF42,"per 100,000 adults",5,17.7638,7
"Respiratory hospitalizations due to PM2.5 (age 20+)",Rockaways,UHF42,"per 100,000 adults",5,17.3029,8
"Respiratory hospitalizations due to PM2.5 (age 20+)","Williamsburg - Bushwick",UHF42,"per 100,000 adults",5,16.9479,9
"Respiratory hospitalizations due to PM2.5 (age 20+)","Kingsbridge - Riverdale",UHF42,"per 100,000 adults",5,16.9457,10
